ACELGA,Taza,1/4,50,1,100,2,200,ACELGA,1/4 Taza,1 Taza,2 Taza,50,100,200
ALCACHOFA,Unidad,1,180,1,260,1,460,ALCACHOFA,1 Unidad,1 Unidad,1 Unidad,180,260,460
BETARRAGA,Taza,1/4,50,1,100,2,170,BETARRAGA,1/4 Taza,1 Taza,2 Taza,50,100,170
BERENJENA,Taza,1/2,40,1,100,2,160,BERENJENA,1/2 Taza,1 Taza,2 Taza,40,100,160
BROCOLI,Taza,1/2,40,1,100,1 1/2,160,BROCOLI,1/2 Taza,1 Taza,1 1/2 Taza,40,100,160
CHAMPIGNONES COCIDOS,Taza,1/2,50,1,125,2,200,CHAMPIGNONES COCIDOS,1/2 Taza,1 Taza,2 Taza,50,125,200
CHAMPIGNONES ENLATADOS,Porcion,1/2,50,1,125,2,200,CHAMPIGNONES ENLATADOS,1/2 Porcion,1 Porcion,2 Porcion,50,125,200
COLIFLOR,Unidad,3,55,5,140,9,220,COLIFLOR,3 Unidad,5 Unidad,9 Unidad,55,140,220
ESPARRAGO,Unidad,2,50,5,125,8,200,ESPARRAGO,2 Unidad,5 Unidad,8 Unidad,50,125,200
ESPINACA,Taza,1/2,50,1,125,1 1 /2,200,ESPINACA,1/2 Taza,1 Taza,1 1 /2 Taza,50,125,200
PEPINILLOS,Unidad,4,40,9,90,12,120,PEPINILLOS,4 Unidad,9 Unidad,12 Unidad,40,90,120
PICKLES,Unidad,3,30,7,70,15,150,PICKLES,3 Unidad,7 Unidad,15 Unidad,30,70,150
POROTOS VERDES,Taza,1/2,40,1,60,2,140,POROTOS VERDES,1/2 Taza,1 Taza,2 Taza,40,60,140
POROTO VERDE ENLATADO,Porcion,1/2,35,1,60,2,140,POROTO VERDE ENLATADO,1/2 Porcion,1 Porcion,2 Porcion,35,60,140
REPOLLITOS DE BRUSELAS,Unidad,6,50,12,125,24,200,REPOLLITOS DE BRUSELAS,6 Unidad,12 Unidad,24 Unidad,50,125,200
SALSA DE TOMATES,Cucharada,1,15,4,60,8,120,SALSA DE TOMATES,1 Cucharada,4 Cucharada,8 Cucharada,15,60,120
ZANAHORIA COCIDA,Porcion,1,50,1,125,2,200,ZANAHORIA COCIDA,1 Porcion,1 Porcion,2 Porcion,50,125,200
ZAPALLITOS ITALIANOS,Taza,1/2,60,1,150,2,240,ZAPALLITOS ITALIANOS,1/2 Taza,1 Taza,2 Taza,60,150,240
ZAPALLO,Trozo,1/2,50,1,110,2,170,ZAPALLO,1/2 Trozo,1 Trozo,2 Trozo,50,110,170
BETARRAGA CRUDA,Taza,1,50,1,130,2,200,BETARRAGA CRUDA,1 Taza,1 Taza,2 Taza,50,130,200
CEBOLLA,Taza,1,40,1,60,2,120,CEBOLLA,1 Taza,1 Taza,2 Taza,40,60,120
CHAMPIGNONES CRUDOS,Taza,1,50,2,100,2,150,CHAMPIGNONES CRUDOS,1 Taza,2 Taza,2 Taza,50,100,150
TOMATE,Unidad,1,60,1,120,2,220,TOMATE,1 Unidad,1 Unidad,2 Unidad,60,120,220
ZANAHORIA,Taza,1,30,1,50,2,90,ZANAHORIA,1 Taza,1 Taza,2 Taza,30,50,90
ACELGA CRUDA,Taza,1,30,1,50,2,100,ACELGA CRUDA,1 Taza,1 Taza,2 Taza,30,50,100
ACHICORIA,Taza,1,30,1,50,2,90,ACHICORIA,1 Taza,1 Taza,2 Taza,30,50,90
ENDIVIA,Taza,1,30,1,50,2,90,ENDIVIA,1 Taza,1 Taza,2 Taza,30,50,90
ESPINACA CRUDA,Taza,1,30,1,50,2,90,ESPINACA CRUDA,1 Taza,1 Taza,2 Taza,30,50,90
LECHUGA,Taza,1,35,1,50,2,100,LECHUGA,1 Taza,1 Taza,2 Taza,35,50,100
REPOLLO,Taza,1,35,1,50,2,100,REPOLLO,1 Taza,1 Taza,2 Taza,35,50,100
RUCULA,Taza,1,30,1,50,2,100,RUCULA,1 Taza,1 Taza,2 Taza,30,50,100
KALE,Taza,1,35,1,50,2,100,KALE,1 Taza,1 Taza,2 Taza,35,50,100
AJO,Unidad,3,3,8,8,15,15,AJO,3 Unidad,8 Unidad,15 Unidad,3,8,15
